# hebrew versification -> KJV standard; single-verse diffs only (identity elsewhere). Source: STEPBible TVTMS (CC-BY). shoresh versification.build
source_ref	standard_ref	action
EZK 21:33	EZK 21:28	Renumber verse
EZK 21:34	EZK 21:29	Renumber verse
EZK 21:35	EZK 21:30	Renumber verse
EZK 21:36	EZK 21:31	Renumber verse
EZK 21:37	EZK 21:32	Renumber verse
EZK 21:4	EZK 20:48	Renumber verse
EZK 21:5	EZK 20:49	Renumber verse
EZK 21:6	EZK 21:1	Renumber verse
EZK 21:7	EZK 21:2	Renumber verse
EZK 21:8	EZK 21:3	Renumber verse
EZK 21:9	EZK 21:4	Renumber verse
GEN 32:1	GEN 31:55	Renumber verse
GEN 32:10	GEN 32:9	Renumber verse
GEN 32:11	GEN 32:10	Renumber verse
GEN 32:12	GEN 32:11	Renumber verse
GEN 32:13	GEN 32:12	Renumber verse
GEN 32:14	GEN 32:13	Renumber verse
GEN 32:15	GEN 32:14	Renumber verse
GEN 32:16	GEN 32:15	Renumber verse
GEN 32:17	GEN 32:16	Renumber verse
GEN 32:18	GEN 32:17	Renumber verse
GEN 32:19	GEN 32:18	Renumber verse
GEN 32:2	GEN 32:1	Renumber verse
GEN 32:20	GEN 32:19	Renumber verse
GEN 32:21	GEN 32:20	Renumber verse
GEN 32:22	GEN 32:21	Renumber verse
GEN 32:23	GEN 32:22	Renumber verse
GEN 32:24	GEN 32:23	Renumber verse
GEN 32:25	GEN 32:24	Renumber verse
GEN 32:26	GEN 32:25	Renumber verse
GEN 32:27	GEN 32:26	Renumber verse
GEN 32:28	GEN 32:27	Renumber verse
GEN 32:29	GEN 32:28	Renumber verse
GEN 32:3	GEN 32:2	Renumber verse
GEN 32:30	GEN 32:29	Renumber verse
GEN 32:31	GEN 32:30	Renumber verse
GEN 32:32	GEN 32:31	Renumber verse
GEN 32:33	GEN 32:32	Renumber verse
GEN 32:4	GEN 32:3	Renumber verse
GEN 32:5	GEN 32:4	Renumber verse
GEN 32:6	GEN 32:5	Renumber verse
